"id","username","firstName","lastName","password","gender","dateOfBirth","phone","email","role","experienceDescription","image","refreshToken"
1,"example","test","user","$2b$12$VGvhpqYga6lecQ88xb1Wm.DFw00MW2VoDFqFQjDXOhAYRUqIHddPC",0,"2000-01-01 00:00:00+00","098765432","example@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
2,"example1","test","user1","$2b$12$CbS2scuOh8ECFq27LLoz6OrOOI4AaK1mFFU1wVy5DrtEMNWApWZn2",0,"2000-01-01 00:00:00+00","0987654321","example1@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
3,"example2","test","user2","$2b$12$W8OFf/ASOmqVtRfpLOmdEOWweRNCA1H8fp2orykQdBcCFU2SkLmUK",0,"2000-01-01 00:00:00+00","0987654322","example2@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
4,"example3","test","user3","$2b$12$w3xBzyEpIGYF6QfGkhtK9Olt66SzYuyj.uFrGsn30FyEUrIOrtLPe",0,"2000-01-01 00:00:00+00","0987654323","example3@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
5,"example4","test","user4","$2b$12$P0Etgo7vbAcW4VnCH6KhTeq4ZQrmO3LQQNbHAzaHdRicHg6rhEP1a",0,"2000-01-01 00:00:00+00","0987654324","example4@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
6,"admin","Admin","Adminius","$2b$12$4knI0YhE9MHijAMn1opKfOxvCSqfnBjp9nyoFw/wvv5up7MLpq/mm",0,"2000-01-01 00:00:00+00","09876543210","example10@gmail.com",0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
7,"owner","Owner","Ownius","$2b$12$s5AZvmJrzish6kwjJ8TKjeVsCe37aPpnXzO7KMHLJEkpsho15W7Z6",0,"2000-01-01 00:00:00+00","09876543211","example11@gmail.com",1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
8,"trainer","Trainer","Trainius","$2b$12$88MAJg37zNkfOx2NnZLpX.NZ/RHvLjdCUEEIPd3wjPT/bf4VwNSHe",0,"2000-01-01 00:00:00+00","09876543212","example12@gmail.com",2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
9,"user","User","Usius","$2b$12$rqsolNSm0f3/Lx7MVuN8Xe12HY6QRJa65jSe2UOTYz5UVfG2mEj5O",0,"2000-01-01 00:00:00+00","09876543213","example13@gmail.com",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
10,"laradjakovic","Lara","Đaković","$2b$12$wVOYbH00AO2/cbE8Pp1iH.n8v3TVpXRuxbAQRZeGh7e.8/LJudfdi",1,"2001-09-04 22:00:00+00","09876543216","example16@gmail.com",1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","/images/users/thumbnail.png",
